parish	place
Aicha-vorm-Wald	Dieffenbach
Aicha-vorm-Wald	Diernstötten
Aicha-vorm-Wald	Diessenstein
Aicha-vorm-Wald	Dissing
Aicha-vorm-Wald	Dobel
Aicha-vorm-Wald	Dobl
Aicha-vorm-Wald	Doblmühle
Aicha-vorm-Wald	Dölz
Aicha-vorm-Wald	Dorfbach
Aicha-vorm-Wald	Döringerreith
Aicha-vorm-Wald	Dormannsdorf
Aicha-vorm-Wald	Döttlmüll
Aicha-vorm-Wald	Drashamb
Aicha-vorm-Wald	Drausensdorf
Aicha-vorm-Wald	Draxenberg
Aicha-vorm-Wald	Durmannsdorf
Aicha-vorm-Wald	Dyllberg
Aicha-vorm-Wald	Eberhardsreith
Aicha-vorm-Wald	Ebernstein
Aicha-vorm-Wald	Ebersperg/Otterskirchen
Aicha-vorm-Wald	Ebersreith
Aicha-vorm-Wald	Eberstein
Aicha-vorm-Wald	Ebertsberg
Aicha-vorm-Wald	Eckenberger Pfarrei
Aicha-vorm-Wald	Eckh
Aicha-vorm-Wald	Eckhing
Aicha-vorm-Wald	Ecking
Aicha-vorm-Wald	Ed
Aicha-vorm-Wald	Eden
Aicha-vorm-Wald	Edhof
Aicha-vorm-Wald	Eding
Aicha-vorm-Wald	Edlau
Aicha-vorm-Wald	Edt
Aicha-vorm-Wald	Edt/Hofkirchen
Aicha-vorm-Wald	Edthof
Aicha-vorm-Wald	Egen
Aicha-vorm-Wald	Egg
Aicha-vorm-Wald	Eggen
Aicha-vorm-Wald	Eggenreith
Aicha-vorm-Wald	Egging
Aicha-vorm-Wald	Egglfing
Aicha-vorm-Wald	Eging
Aicha-vorm-Wald	Eiberbach
Aicha-vorm-Wald	Eibersdorf
Aicha-vorm-Wald	Eicha
Aicha-vorm-Wald	Eintzenberg
Aicha-vorm-Wald	Eintzendobl
Aicha-vorm-Wald	Einzenberg
Aicha-vorm-Wald	Einzendobl
Aicha-vorm-Wald	Einzendoblmill
Aicha-vorm-Wald	Einzendoblmühl
Aicha-vorm-Wald	Einzendoblmühle
Aicha-vorm-Wald	Eisenstein
Aicha-vorm-Wald	Eitzenberg
