name	cnt
Aletzhamer	3
Alex	6
Alexander	2
Alexinger	1
Alexius	4
Alez	2
Aleze	1
Alezeder	7
Alezhamer	3
Alfänger	3
Alfen	2
Alferi	11
Alfermann	2
Alfershamer	5
Alfertshamer	3
Alfery	1
Alfinger	1
Alframseder	1
Alfranseder	7
Alfras	1
Alfraseder	19
Alfred	3
Alg	1
Algaier	1
Algaringr	1
Algäuer	2
Algayer	2
Algayr	4
Algeier	69
Algeist	1
Alger	5
Algerloher	1
Algertshuber	1
Algeyer	6
Algezer	1
Algreyr	1
Alheimer	1
Alhell	1
Alher	1
Alhkover	1
Alhöizer	1
Alhranseder	1
Alibrandi	13
Alibrandt	1
Aligmendi	1
Aligrandi	3
Alikosch	1
Alinger	3
Aliprand	1
Aliprandi	25
Alipranidi	1
Alisch	3
Alissandi	2
Alius	1
Alizrandi	1
Alkawer	2
Alkel	2
Alkhofer	1
Alkhover	1
Alkofer	4
Alkover	1
All	1
Allabrandi	2
Allafrancon	1
Allaka	3
Allämber	1
Allarin	1
Allatsgruber	1
Allbauer	1
Allberger	4
Allböck	1
Allbrecht	9
Allbrich	1
Alldorfer	1
Allebrandi	4
Allecker	1
Alleder	10
Alledinger	1
Allefrance	1
Allegro, von	1
Alleithner	6
Alleitner	5
Allelua	3
Allenbeckh	1
Allenberger	4
Allendinger	83
Alleneder	1
Allenöder	1
Allensperger	1
Allenstetter	1
Allentinger	5
Allentinger 	1
Aller	33
Äller	3
Alleramseder	1
Alleramsederin	1
Allerbauer	1
Allerböck	1
Allerding	1
Allerdinger	199
Allerdingerin	2
Allereder	1
Allerer	1
Allerin	1
Allering	1
Allermayr	1
Allerpreger	1
Allersbach	2
Allersbäck	1
Allersbeck	7
Allersberger	10
Allersböck	9
Allersbökh	2
Allerscheski	1
Allerseder	10
Allershamer	2
Allershammer	1
Allerspeck	3
Allersperger	11
Allerspöck	4
Allersspöck	1
Allert	1
Allerteder	1
Allerthinger	1
Allertinger	71
Allertsamer	1
Allertseder	169
Allertsgruber	2
Allertshamer	11
Allertshammer	1
Allertshauser	1
Allertsöder	1
Allerzeder	4
Allerzhamer	1
Alles	1
Allesch	25
Alleschatz	1
Allescher	3
Allesches	1
Alleschwitz	1
Alleseder	1
Allesinger	2
Allesperger	3
Allesteig	1
Allesting	1
Alletinger	1
Alletseder	16
Alletshamer	7
Alletsperger	3
Alletzamer	1
Alletzhamer	5
Alleutner	1
Allezeder	9
Allezhamer	2
Allezhammer	2
Allfraseder	3
Allfrasöcker	1
Allfraß	1
Allfrits	1
Allgaier	3
Allgaüer	1
Allgäuer	5
Allgayer	2
Allgayr	3
Allgeger	1
Allgeier	92
Allgersperger	1
Allgeuer	1
Allgeyer	28
Allgriger	1
Allgrüebl	1
Allhamer	27
Ällhamer	1
Allhamerin	1
Allibernd	1
Allibrandi	1
Allichhamer	4
Alliger	1
Allikamer	1
